Hi.,Salut!
We went to the zoo.,Nous sommes allés au zoo.
We went to the zoo.,Nous sommes allées au zoo.
We were both drunk.,Nous étions toutes deux saoules.
We were both drunk.,Nous étions tous deux saouls.
We were both drunk.,Nous étions saouls tous les deux.
We were both drunk.,Nous étions saoules toutes les deux.
We were both drunk.,Nous étions tous deux ivres.
We were both tired.,Nous étions tous les deux fatigués.
We were both tired.,Nous étions toutes les deux fatiguées.
We were both wrong.,Nous avions tout les deux tort.
We were both wrong.,On se trompait tous les deux.
We were just going.,Nous étions justement sur le point d'y aller.
We were passengers.,Nous étions passagers.
We were passengers.,Nous étions des passagers.
We were so worried.,Nous étions si inquiets.
We were so worried.,Nous étions si inquiètes.
We were undefeated.,Nous étions invaincus.
We were very close.,Nous étions très proches.
We were very lucky.,Nous avons été très chanceux.
We were very lucky.,Nous avons été très chanceuses.
We were very tired.,Nous étions très fatiguées.
We won't be judged.,Nous ne serons pas jugés.
We won't be judged.,Nous ne serons pas jugées.
We worked together.,Nous travaillions ensemble.
We worked together.,Nous avons travaillé ensemble.
We'd like to leave.,Nous aimerions partir.
We'll all be there.,Nous serons tous là.
We'll all be there.,Nous serons toutes là.
We'll all be there.,Nous y serons tous.
We'll all be there.,Nous y serons toutes.
We'll be just fine.,Ça ira bien pour nous.
We'll be neighbors.,Nous serons voisins.
We'll convince Tom.,Nous convaincrons Tom.
We'll decide later.,Nous déciderons plus tard.
We'll decide later.,Nous en déciderons plus tard.
We'll decide later.,On décidera plus tard.
We'll finish later.,Nous finirons plus tard.
We'll give it back.,On va le rendre.
We'll give it back.,Nous allons le rendre.
We're a big family.,Nous sommes une grande famille.
We're all born mad.,Nous sommes tous nés fous.
We're all infected.,Nous sommes tous infectés.
We're all infected.,Nous sommes toutes infectées.
We're all students.,Nous sommes tous étudiants.
We're all students.,Nous sommes toutes étudiantes.
We're all the same.,Nous sommes tous les mêmes.
We're all the same.,Nous sommes toutes les mêmes.
We're almost ready.,Nous sommes presque prêts.
We're almost ready.,Nous sommes presque prêtes.
We're almost there.,Encore un petit effort.
We're almost there.,Nous y sommes presque.
We're almost there.,Nous y sommes bientôt.
We're already late.,Nous sommes déjà en retard.
We're always right.,Nous avons toujours raison.
We're best friends.,Nous sommes les meilleurs amis.
We're both writers.,Nous sommes tous deux écrivains.
We're close enough.,Nous sommes suffisamment proches.
We're conservative.,Nous sommes conservateurs.
We're contributing.,Nous contribuons.
We're disappointed.,Nous sommes déçues.
We're done talking.,Notre entretien est terminé.
We're done talking.,Nous avons fini de parler.
We're going inside.,Nous sommes en train d'y pénétrer.
We're going to try.,Nous allons essayer.
We're halfway home.,Nous sommes à mi-chemin de chez nous.
We're having lunch.,Nous sommes en train de déjeuner.
We're here to help.,Nous sommes ici pour aider.
We're here to help.,Nous sommes là pour aider.
We're honeymooning.,Nous sommes en lune de miel.
We're housesitting.,Nous gardons la maison.
We're in agreement.,Nous sommes d'accord.
We're just nervous.,Nous sommes simplement nerveux.
We're just nervous.,Nous sommes simplement nerveuses.
We're just talking.,Nous ne faisons que parler.
We're leaving here.,Nous partons d'ici.
We're nearly there.,Nous y sommes presque.
We're not dead yet.,Nous ne sommes pas encore morts.
We're not dead yet.,Nous ne sommes pas encore mortes.
We're not done yet.,Nous n'en avons pas encore terminé.
We're not fighting.,Nous ne nous battons pas.
We're not finished.,Nous n'en avons pas fini.
We're not free yet.,Nous ne sommes pas encore libres.
We're not involved.,Nous ne sommes pas impliqués.
We're not involved.,Nous ne sommes pas impliquées.
We're not partners.,Nous ne sommes pas partenaires.
We're not soldiers.,Nous ne sommes pas soldats.
We're not speaking.,Nous ne sommes pas en train de parler.
We're not sure yet.,Nous n'en sommes pas encore sûrs.
We're not sure yet.,Nous n'en sommes pas encore sûres.
We're not watching.,Nous ne regardons pas.
We're only friends.,Nous ne sommes que des amis.
We're out of money.,Nous sommes à court d'argent.
We're out of stock.,Nous n'en avons plus en stock.
We're out of stock.,Nous sommes à court.
We're overreacting.,Nous sur-réagissons.
We're pretty tight.,Notre horaire est assez serré.
We're pulling back.,Nous nous retirons.
We're really angry.,Nous sommes vraiment en colère.
We're really drunk.,Nous sommes vraiment saouls.
We're really drunk.,Nous sommes vraiment saoules.
We're really lucky.,Nous avons vraiment de la chance.
We're running away.,Nous nous enfuyons.
We're running late.,Nous prenons du retard.
We're saving lives.,Nous sauvons des vies.
We're slowing down.,Nous sommes en train de ralentir.
We're still a team.,Nous sommes encore une équipe.
We're still active.,Nous sommes toujours actifs.
We're studying now.,Nous sommes actuellement en train d'étudier.
We're sure of that.,Nous sommes sûrs de cela.
We're sure of that.,Nous sommes sures de cela.
We're the same age.,Nous sommes du même âge.
We're the same age.,Nous avons le même âge.
We're turning back.,Nous retournons en arrière.
We're under attack.,Nous sommes attaqués.
We're under attack.,Nous sommes attaquées.
We're unprejudiced.,Nous sommes dépourvus de préjugés.
We're unprejudiced.,Nous sommes dépourvues de préjugés.
We're very excited.,Nous sommes très excités.
We're very excited.,Nous sommes très excitées.
We're very serious.,Nous sommes très sérieux.
We're very serious.,Nous sommes très sérieuses.
We're volunteering.,Nous faisons du bénévolat.
We're volunteering.,Nous nous portons volontaires.
We're your friends.,Nous sommes tes amis.
We're your friends.,Nous sommes tes amies.
We've all got ears.,Nous sommes tous dotés d'oreilles.
We've all got ears.,Nous sommes toutes dotées d'oreilles.
We've all got ears.,Nous sommes tous pourvus d'oreilles.
We've all got ears.,Nous sommes toutes pourvues d'oreilles.
We've been friends.,Nous avons été amis.
We've been spotted.,Nous avons été repérées.
We've been spotted.,Nous avons été repérés.
We've gone too far.,Nous sommes allés trop loin.
We've gone too far.,Nous sommes allées trop loin.
We've got to leave.,Nous devons partir.
We've just arrived.,Nous venons d'arriver.
Were you born here?,Es-tu né ici ?
Were you born here?,Es-tu née ici ?
Were you born here?,Êtes-vous nés ici ?
Were you born here?,Êtes-vous nées ici ?
Were you born here?,Êtes-vous né ici ?
Were you born here?,Êtes-vous née ici ?
Were you two close?,Étiez-vous tous deux proches ?
What I say is true.,Ce que je dis est vrai.
What a big pumpkin!,Quelle grosse citrouille !
What a clever idea!,Quelle idée géniale !
What a coincidence!,Quelle coïncidence !
What a lot of pens!,Quel tas de stylos !
What a nice family!,Quelle chouette famille !
What a nice family!,Quelle famille sympathique !
What a perfect day!,Quel jour parfait !
What a pretty girl!,Quelle jolie fille !
What a pretty girl!,Quelle fille mignonne !
What a small world!,Le monde est petit.
What a strange dog!,Quel chien étrange !
What a strange guy!,Quel type étrange !
What a strange man!,Quel homme étrange !
What a strong wind!,Quel vent !
What a total idiot!,Quel parfait imbécile !
What are the rules?,Quelles sont les règles ?
What are these for?,À quoi servent celles-ci ?
What are these for?,À quoi servent ceux-ci ?
What are you doing?,Que fais-tu ?
What are you doing?,Que faites-vous ?
What are you doing?,Qu'es-tu en train de faire ?
What are you doing?,Qu'es-tu en train de faire ?
What are you doing?,Qu'êtes-vous en train de faire ?
What are you doing?,Qu’est-ce que vous faites ?
What are you up to?,Que préparez-vous ?
What are you up to?,À quoi te prépares-tu ?
What are you up to?,À quoi vous préparez-vous ?
What are you up to?,Qu'est-ce que tu mijotes ?
What are you up to?,Qu'est-ce que vous mijotez ?
What awful weather!,Quel temps de chien !
What can I get you?,Que puis-je aller te chercher ?
What can I get you?,Que puis-je aller vous chercher ?
What color is this?,Quelle couleur est-ce ?
What color is this?,De quelle couleur est-ce ?
What did I just do?,Qu'est-ce que je viens de faire ?
What did Tom build?,Qu'a construit Tom ?
What did Tom drink?,Qu'a bu Tom ?
What did Tom order?,Qu'a commandé Tom ?
What did they want?,Que voulaient-ils ?
What did they want?,Que voulaient-elles ?
What did you drink?,Qu'as-tu bu ?
What did you drink?,Qu'avez-vous bu ?
What did you learn?,Qu'as-tu appris ?
What did you learn?,Qu'avez-vous appris ?
What did you watch?,Qu'est-ce que tu as regardé ?
What did you write?,Qu'as-tu écrit ?
What did you write?,Qu'avez-vous écrit ?
What do I call you?,Comment dois-je t'appeler ?
What do I call you?,Comment dois-je vous appeler ?
What do tigers eat?,Que mangent les tigres?
What do you advise?,Que conseilles-tu ?
What do you advise?,Que conseillez-vous ?
What do you desire?,Qu'est-ce que vous désirez ?
What do you desire?,Qu'est-ce que tu désires ?
What does Tom need?,De quoi Tom a-t-il besoin ?
What does she have?,Qu'est-ce qu'elle a ?
What does she have?,Qu'a-t-elle ?
What does that say?,Qu'est-ce que ça dit ?
What happened here?,Qu'est-ce qu'il s'est passé ici ?
What happened here?,Qu'est-ce qui s'est passé ici ?
What happened next?,Que s'est-il passé ensuite ?
What happened next?,Que s'est-il produit ensuite ?
What happened next?,Qu'est-il survenu ensuite ?
What have you done?,Qu'est-ce que tu as fait ?
What have you done?,Qu'as-tu fais ?
What have you done?,Qu'avez-vous fait ?
What if he's wrong?,Et s'il a tort ?
What is it made of?,De quoi est-ce constitué ?
What is over there?,Qu'y a-t-il là-bas ?
What is the number?,Quel est le numéro ?
What is this place?,Qu'est cet endroit ?
What is your offer?,Quelle est ton offre ?
What is your offer?,Quelle est votre offre ?
What just happened?,Que vient-il de se passer ?
What just happened?,Que vient-il de se produire ?
What might that be?,Qu'est-ce que cela pourrait être ?
What might that be?,Que cela pourrait-il être ?
What month is this?,Quel mois sommes-nous ?
What narrow stairs!,Qu'est-ce qu'ils sont étroits ces escaliers!
What narrow stairs!,Que ces escaliers sont étroits !
What part is wrong?,Quelle partie est fausse ?
What part is wrong?,Quelle partie est mauvaise ?
What should I wear?,Que devrais-je porter ?
What station is it?,Quelle gare est-ce ?
What will you have?,Que choisis-tu ?
What will you make?,Que fabriqueras-tu ?
What would he know?,Que saurait-il ?
What would you say?,Que dirais-tu ?
What would you say?,Que diriez-vous ?
What'll it be like?,Comment sera-ce ?
What'll it be like?,À quoi cela ressemblera-t-il ?
What're you saying?,Que dites-vous ?
What're you saying?,Qu'es-tu en train de dire ?
What're you saying?,Qu'êtes-vous en train de dire ?
What's Tom good at?,En quoi Tom est-il doué ?
What's a porcupine?,Qu'est-ce qu'un porc-épic ?
What's a porcupine?,C'est quoi un porc-épic ?
What's been stolen?,Qu'est-ce qui a été volé ?
What's for dessert?,Qu'y a-t-il comme dessert ?
What's in that box?,Qu'y a-t-il dans cette boîte ?
What's in the file?,Qu'y a-t-il dans le dossier ?
What's in the file?,Que contient le dossier ?
What's in the file?,Qu'y a-t-il dans le fichier ?
What's in this bag?,Qu'y a-t-il dans ce sac ?
What's in this bag?,Qu'est ce qu'il y a dans ce sac ?
What's in this box?,Qu’est-ce qu’il y a dans cette boîte ?
What's in this box?,Qu'y a-t-il dans cette boîte ?
What's it all mean?,Que signifie tout ceci ?
What's it good for?,À quoi sert-il ?
What's it used for?,À quoi ça sert ?
What's not to like?,Qu'y a-t-il à y redire ?
What's not to like?,Que demander de plus ?
What's the message?,Quel est le message ?
What's the problem?,Quel est le problème ?
What's the urgency?,Quelle est l'urgence ?
What's their story?,Quelle est leur histoire ?
What's there to do?,Qu'est-ce qu'il y a à faire ?
What's there to do?,Qu'y a-t-il à faire ?
What's this called?,Comment nomme-t-on cela ?
What's this called?,Comment nomme-t-on ça ?
What's your excuse?,Quelle est votre excuse ?
What's your excuse?,Quelle est ton excuse ?
What's your excuse?,C'est quoi ton excuse ?
What's your number?,Quel est ton numéro ?
What's your number?,Quel est votre numéro ?
What's your secret?,C'est quoi ton secret ?
When can I move in?,Quand puis-je emménager ?
When can you start?,Quand peux-tu commencer ?
When can you start?,Quand peux-tu démarrer ?
When can you start?,Quand pouvez-vous commencer ?
When can you start?,Quand pouvez-vous démarrer ?
When did I do that?,Quand l'ai-je fait ?
When did you start?,Quand as-tu commencé ?
When do I get paid?,Quand serai-je payé ?
When do owls sleep?,Quand les hiboux dorment-ils ?
When do owls sleep?,Quand les chouettes dorment-elles ?
When do you get up?,À quelle heure te lèves-tu ?
When do you use it?,Quand l'employez-vous ?
When do you use it?,Quand l'emploies-tu ?
When does it begin?,Quand cela commence-t-il ?
When does it close?,Quand cela ferme-t-il ?
When does it start?,Quand cela commence-t-il ?
When was Tom fired?,Quand Tom a-t-il été viré ?
When was Tom fired?,Quand Tom a-t-il été renvoyé ?
When were you born?,Quand êtes-vous né ?
When were you born?,Quand êtes-vous née ?
When were you born?,Quand es-tu né ?
When were you born?,Quand es-tu née ?
When were you born?,Quand êtes-vous nés ?
When were you born?,Quand êtes-vous nées ?
When will it begin?,Quand est-ce que ça commence ?
When will we leave?,Quand partons-nous?
When will you call?,Quand appelleras-tu ?
When's the funeral?,Quand les funérailles ont-elles lieu ?
Where are my books?,Où sont mes livres ?
Where are my pants?,Où est mon pantalon ?
Where are my socks?,Où sont mes chaussettes ?
Where are the boys?,Où sont les garçons ?
Where are the guns?,Où sont les armes ?
Where are the guns?,Où sont les flingues ?
Where are the hats?,Où sont les chapeaux ?
Where are the kids?,Où sont les enfants ?
Where are they now?,Où sont-ils maintenant ?
Where are they now?,Où sont-elles maintenant ?
Where are we going?,Où va-t-on ?
Where are you from?,Tu viens d'où ?
Where are you from?,D'où viens-tu ?
Where are you from?,D'où venez-vous ?
Where are you from?,Vous venez d'où ?
Where are you from?,D'où êtes-vous ?
Where are you hurt?,Où es-tu blessé ?
Where are you hurt?,Où êtes-vous blessé ?
Where did I put it?,Où l'ai-je mis ?
Where did he do it?,Où l'a-t-il fait ?
Where did you live?,Où avez-vous vécu ?
Where did you look?,Où avez-vous regardé ?
Where did you look?,Où as-tu regardé ?
Where did you stay?,Où as-tu séjourné ?
Where did you stay?,Où avez-vous séjourné ?
Where do I go then?,"Où vais-je alors ?"
Where do they live?,Où vivent-ils ?
Where do they live?,Où habitent-ils ?
Where do they live?,Où habitent-elles ?
Where do they live?,Où vivent-elles ?
Where do we go now?,Où allons-nous maintenant ?
Where has she gone?,Où est-elle allée ?
Where is everybody?,Où est tout le monde ?
Where is it hidden?,Où est-ce que c'est caché ?
Where is it hidden?,Où est-ce caché ?
Where is it hidden?,Où est-il caché ?
Where is my office?,Où est mon bureau ?
Where is my pencil?,Où est mon crayon ?
Where is the beach?,Où est la plage ?
Where is the hotel?,Où est l'hôtel ?
Where is your room?,Où est ta chambre ?
Where should I sit?,Où devrais-je m'asseoir ?
Where should we go?,Où devrions-nous aller ?
Where should we go?,Où devrions-nous nous rendre ?
Where was Tom born?,Où est né Tom ?
Where was Tom born?,Où Tom est-il né ?
Where will we meet?,Où nous rencontrerons-nous ?
Where're the shoes?,Où sont les chaussures ?
Where's Tom's card?,Où est la carte de Tom ?
Where's my brother?,Où est mon frère ?
Where's the bakery?,Où est la boulangerie ?
Where's the butter?,Où est le beurre ?
Where's the doctor?,Où est le médecin ?
Where's the doctor?,Où est le docteur ?
Where's the market?,Où est le marché ?
Where's the remote?,Où est la télécommande ?
Where's the remote?,Où est la télécommande ?
Where's the shovel?,Où est la pelle ?
Where's the toilet?,Où sont les toilettes ?
Where's the toilet?,Où se trouvent les toilettes ?
Where's your drink?,Où est ton verre ?
Where's your drink?,Où est votre verre ?
Where's your hotel?,Où est votre hôtel ?
Where's your hotel?,Où est ton hôtel ?
Where's your house?,Où est ta maison ?
Where's your shirt?,Où est ta chemise ?
Where's your uncle?,Où est ton oncle ?
Where's your uncle?,Où est votre oncle ?
Where's your watch?,Où est ta montre ?
Where's your watch?,Où est votre montre ?
Which cap is yours?,Quel chapeau est le tien ?
Which cap is yours?,Lequel est ton chapeau ?
Which cap is yours?,C'est lequel ton chapeau ?
Which car is yours?,Quelle voiture est la tienne ?
Which car is yours?,Quelle voiture est la vôtre ?
Which cup is yours?,Laquelle est ta tasse ?
Which cup is yours?,Laquelle est votre tasse ?
Which cup is yours?,Quelle tasse est la vôtre ?
Which cup is yours?,Quelle tasse est la tienne ?
Which dog is yours?,Quel est ton chien ?
Which dog is yours?,Lequel est votre chien ?
Which dog is yours?,Lequel est ton chien ?
Which hat is yours?,Lequel est ton chapeau ?
Which is your book?,Lequel est ton livre ?
Which team is ours?,Quelle équipe est la nôtre ?
Who allowed him in?,Qui l'a laissé entrer ?
Who allowed him in?,Qui lui a permis d'entrer ?
Who are those guys?,Qui sont ces types-là ?
Who broke the vase?,Qui a brisé le vase ?
Who can prevent it?,Qui peut le prévenir ?
Who can prevent it?,Qui peut l'empêcher ?
Who cares about me?,Qui fait attention à moi ?
Who cares about me?,Qui se soucie de moi ?
Who else does this?,Qui d'autre fait ça ?
Who else was there?,Qui d'autre était là ?
Who else was there?,Qui d'autre y était ?
Who gave it to you?,Qui vous l'a donné ?
Who gave it to you?,Qui vous l'a donnée ?
Who gave it to you?,Qui te l'a donné ?
Who gave it to you?,Qui te l'a donnée ?
Who is that person?,Qui est cette personne ?
Who is the manager?,Qui est le responsable ?
Who is your friend?,Qui est ta copine ?
Who is your lawyer?,Qui est ton avocat ?
Who is your mother?,Qui est votre mère ?
Who is your mother?,Qui est ta mère ?
Who let the dog in?,Qui a laissé le chien entrer ?
Who listens to Tom?,Qui écoute Tom ?
Who made this cake?,Qui a fait ce gâteau ?
Who owns this ship?,Qui possède ce bateau ?
Who put that there?,Qui a mis ça là ?
Who wants this one?,Qui veut celui-ci ?
Who wants this one?,Qui veut celle-ci ?
Who wants to begin?,Qui veut commencer ?
Who was that woman?,Qui était cette femme ?
Who would buy this?,Qui achèterait ça ?
Who wrote the book?,Par qui le livre a-t-il été écrit ?
Who's Tom's mother?,Qui est la mère de Tom ?
Who's at the wheel?,Qui est au volant ?
Who's not here yet?,Qui n'est pas encore là ?
Who's on your list?,Qui est sur ta liste ?
Who's on your list?,Qui est sur votre liste ?
Who's the last one?,Qui est le dernier ?
Who's their mother?,Qui est leur mère ?
Who's volunteering?,Qui se porte volontaire ?
Who's volunteering?,Qui fait du bénévolat ?
Who's your teacher?,Qui est ton professeur ?
Who's your teacher?,Qui est votre enseignant ?
Who's your teacher?,Qui est ton instituteur ?
Who's your teacher?,Qui est votre professeur ?
Who's your teacher?,Qui est ton institutrice ?
Whose beer is this?,À qui est cette bière ?
Whose bike is this?,À qui est cette bicyclette ?
Whose bike is this?,"C’est à qui ce vélo ?"
Whose book is that?,À qui est ce livre ?
Whose book is this?,À qui est ce livre ?
Whose book is this?,À qui appartient ce livre ?
Whose friend is he?,De qui est-il l'ami ?
Whose ring is that?,À qui est cette bague ?
Whose room is this?,C'est la chambre de qui ?
Why are we running?,Pourquoi courons-nous ?
Why are you asking?,Pourquoi demandes-tu ?
Why are you crying?,Pourquoi pleures-tu ?
Why are you scared?,Pourquoi as-tu peur ?
Why are you scared?,Pourquoi êtes-vous effrayée ?
Why are you so mad?,Pourquoi es-tu tellement en colère ?
Why are you so sad?,Pourquoi es-tu si triste ?
Why are you so wet?,Pourquoi es-tu si mouillé?
Why are you so wet?,Pourquoi es-tu si trempé?
Why blame just Tom?,Pourquoi ne blâmer que Tom ?
Why can't you come?,Pourquoi ne peux-tu venir ?
Why can't you come?,Pourquoi ne peux-tu pas venir ?
Why come to me now?,Pourquoi venir à moi maintenant ?
Why did you buy it?,Pourquoi l'as-tu acheté ?
Why did you buy it?,Pourquoi l'avez-vous acheté ?
Why did you buy it?,Pourquoi en avez-vous fait l'acquisition ?
Why did you buy it?,Pourquoi en as-tu fait l'acquisition ?
Why didn't it work?,Pourquoi cela n'a-t-il pas fonctionné ?
Why didn't you run?,Pourquoi tu n'as pas couru ?
Why didn't you run?,Pourquoi n'avez-vous pas couru ?
Why do I even care?,Pourquoi même est-ce que je m'en soucie ?
Why do it this way?,Pourquoi le faire comme ça ?
Why do you hate me?,Pourquoi me hais-tu ?
Why do you hate me?,Pourquoi me haïssez-vous ?
Why do you like it?,Pourquoi l'aimes-tu ?
Why do you need it?,Pourquoi en as-tu besoin ?
Why do you need it?,Pourquoi en avez-vous besoin ?
Why does ice float?,Pourquoi la glace flotte ?
Why does it matter?,En quoi est-ce important ?
Why don't you help?,Pourquoi n'aidez-vous pas ?
Why don't you help?,Pourquoi n'aides-tu pas ?
Why don't you quit?,Pourquoi ne donnes-tu pas ta démission ?
Why don't you quit?,Pourquoi ne donnez-vous pas votre démission ?
Why don't you quit?,Pourquoi ne remets-tu pas ta démission ?
Why don't you quit?,Pourquoi ne remettez-vous pas votre démission ?
Why don't you quit?,Pourquoi n'arrêtez-vous pas ?
Why don't you quit?,Pourquoi n'arrêtes-tu pas ?
Why don't you sing?,Pourquoi ne chantes-tu pas ?
Why don't you sing?,Pourquoi ne chantez-vous pas ?
Why don't you stop?,Pourquoi n'arrêtes-tu pas ?
Why is he so quiet?,Pourquoi est-il si silencieux ?
Why is it my fault?,Pourquoi est-ce ma faute ?
Why is she sulking?,Pourquoi elle fait la tête ?
Why not live it up?,Pourquoi ne pas profiter de la vie?
Why not use robots?,Pourquoi ne pas employer des robots ?
Why take that risk?,Pourquoi prendre ce risque ?
Why wait until now?,Pourquoi avoir attendu jusqu'à maintenant ?
Why was Tom killed?,Pourquoi Tom a-t-il été tué ?
Why were you fired?,Pourquoi avez-vous été renvoyé ?
Why were you fired?,Pourquoi as-tu été renvoyé ?
Why were you there?,Pourquoi étais-tu là ?
Why were you there?,Pourquoi y étiez-vous ?
Why would I be mad?,Pourquoi serais-je en colère ?
Will I have a scar?,Aurai-je une cicatrice ?
Will it rain today?,Pleuvra-t-il aujourd'hui ?
Will it rain today?,Va-t-il pleuvoir aujourd'hui ?
Will you help them?,Vas-tu les aider ?
Will you help them?,Allez-vous les aider ?
Will you help them?,Les aiderez-vous ?
Will you help them?,Les aideras-tu ?
Women talk nonstop.,Les femmes parlent sans cesse.
Would he like that?,L'apprécierait-il ?
Would he like that?,Aimerait-il ça ?
Would he like that?,Aimerait-il cela ?
Would you buy that?,Achèterais-tu ça ?
Would you buy that?,Achèteriez-vous cela ?
Would you like ice?,Voudrais-tu de la glace ?
Would you like ice?,Voudriez-vous de la glace ?
Would you like one?,En voudriez-vous un ?
Would you like one?,En voudriez-vous une ?
Would you like one?,En voudrais-tu un ?
Would you like one?,En voudrais-tu une ?
Would you teach me?,Me l'enseignerais-tu ?
Would you teach me?,Voudrais-tu me l'enseigner ?
Would you teach me?,Me l'enseigneriez-vous ?
Would you teach me?,Voudriez-vous me l'enseigner ?
"Yeah you're right.","Ouais, tu as raison."
"Yeah you're right.","Ouais, vous avez raison."
You are free to go.,Vous êtes libres de partir.
You are impossible.,Vous êtes insupportable.
You are overworked.,Tu es surmené.
You are overworked.,Tu es surmenée.
You are under oath.,Vous êtes sous serment.
You are under oath.,Tu es sous serment.
You are very brave.,Tu es très courageux.
You are very brave.,Tu es très brave.
You are very brave.,Vous êtes très courageux.
You are very brave.,Vous êtes très courageuse.
You are very brave.,Vous êtes très courageuses.
You are very brave.,Vous êtes fort courageuse.
You are very smart.,Vous êtes très sages.
You aren't invited.,Tu n'es pas invité.
You aren't invited.,Tu n'es pas invitée.
You aren't invited.,Vous n'êtes pas invitée.
You aren't invited.,Vous n'êtes pas invité.
You aren't invited.,Vous n'êtes pas invitées.
You aren't invited.,Vous n'êtes pas invités.
You aren't looking.,Tu ne regardes pas.
You aren't looking.,Vous ne regardez pas.
You aren't smiling.,Vous ne souriez pas.
You aren't smiling.,Tu ne souris pas.
You broke the rule.,Tu as enfreint la règle.
You broke your arm.,Tu t'es cassé le bras.
You broke your leg.,Vous vous êtes cassé la jambe.
"You can do it too.","Vous pouvez le faire aussi."
"You can do it too.","Tu peux le faire aussi."
You can let go now.,Vous pouvez lâcher prise maintenant.
You can rely on me.,Tu peux me faire confiance.
You can rely on me.,Tu peux compter sur moi.
You can study here.,Tu peux étudier ici.
You can talk later.,Vous pouvez discuter plus tard.
You can trust them.,On peut leur faire confiance.
You can trust them.,Tu peux leur faire confiance.
You can trust them.,Vous pouvez leur faire confiance.
You can't back out.,Tu ne peux pas te retirer.
You can't back out.,Tu ne peux pas te dédire.
You can't back out.,Vous ne pouvez pas vous retirer.
You can't back out.,Vous ne pouvez pas vous dédire.
You can't blame me.,Tu ne peux pas m'accuser.
You can't blame me.,Vous ne pouvez pas m'accuser.
You can't blame me.,Tu ne peux pas me faire reproche.
You can't blame me.,Vous ne pouvez pas me faire reproche.
You can't complain.,Tu ne peux pas te plaindre.
You can't eat here.,Vous ne pouvez pas manger ici.
You can't eat here.,Tu ne peux pas manger ici.
You can't get both.,On ne peut pas avoir les deux.
You can't go alone.,Tu ne peux pas y aller seul.
You can't go alone.,Tu ne peux pas y aller seule.
You can't go alone.,Vous ne pouvez pas y aller seul.
You can't go alone.,Vous ne pouvez pas y aller seule.
You can't go there.,Tu ne peux pas y aller.
You can't leave me.,Tu ne peux pas me quitter.
You can't leave me.,Vous ne pouvez pas me quitter.
You can't quit now.,Tu ne peux pas abandonner maintenant.
You can't quit now.,Vous ne pouvez pas abandonner maintenant.
You can't quit now.,Tu ne peux pas démissionner maintenant.
You can't quit now.,Vous ne pouvez pas démissionner maintenant.
You can't say that.,Tu ne peux pas dire ça.
You can't say that.,Vous ne pouvez pas dire ça.
You can't use this.,Tu ne peux pas utiliser ça.
You can't use this.,Vous ne pouvez pas utiliser ceci.
You cannot do this.,Tu ne peux pas faire ça.
You cannot do this.,Tu ne peux pas faire cela.
You cannot do this.,Vous ne pouvez pas faire cela.
You cannot do this.,Vous ne pouvez pas faire ça.
You didn't warn me.,Vous ne m'avez pas averti.
You didn't warn me.,Tu ne m'as pas averti.
You don't scare me.,Vous ne me faites pas peur.
You don't scare me.,Vous me faites pas peur.
You freaked me out.,Tu m'as fichu la trouille.
You freaked me out.,Tu m'as refilé les foies.
You get used to it.,Vous vous y habituerez.
You get used to it.,Tu t'y habitueras.
You get used to it.,Vous vous y ferez.
You get used to it.,Tu t'y feras.
You guys are weird.,Vous êtes bizarre les gars.
You guys look lost.,Vous avez l'air perdus.
You guys wait here.,Attendez ici.
You had a long day.,Vous avez eu une longue journée.
You have a message.,Tu as un message.
You have a message.,Vous avez un message.
You have been busy.,Vous avez été occupé.
You have been busy.,Vous avez été occupés.
You have cute eyes.,Tu as des yeux mignons.
You have cute eyes.,Vous avez de mignons yeux.
You have no choice.,Vous n'avez pas le choix.
You have no choice.,Tu n'as pas le choix.
You have to get up.,Tu dois te lever.
You have to get up.,Vous devez vous lever.
You have to resign.,Vous devez démissionner.
You have to resign.,Tu dois démissionner.
You have to see it.,Tu dois la voir.
You have to see it.,Tu dois le voir.
You have to see it.,Il faut que tu la voies.
You have to see it.,Il faut que tu le voies.
You have to see it.,Il faut que vous le voyiez.
You have to see it.,Il faut que vous la voyiez.
You have two balls.,Vous avez deux balles.
You have two balls.,Tu as deux balles.
You have two balls.,Vous avez deux boules.
You have two balls.,Tu as deux boules.
You intimidate Tom.,Vous intimidez Tom.
You intimidate Tom.,Tu intimides Tom.
You just need help.,Tu as seulement besoin d'aide.
You know I'm wrong.,Vous savez que j'ai tort.
You know I'm wrong.,Tu sais que j'ai tort.
You know how it is.,Tu sais comment c'est.
You know how it is.,Vous savez comment c'est.
You know the drill.,Tu connais l'exercice.
You know the drill.,Tu connais le mantra.
You know the drill.,Tu connais la rengaine.
You know the drill.,Tu connais le refrain.
You know the drill.,Vous connaissez le refrain.
You know the drill.,Vous connaissez la rengaine.
You know the drill.,Vous connaissez le mantra.
You know the drill.,Vous connaissez l'exercice.
You know the rules.,Tu connais les règles.
You like elephants.,Les éléphants vous plaisent.
You like elephants.,Vous aimez les éléphants.
You look contented.,Vous avez l'air content.
You look contented.,Vous avez l'air satisfaite.
You look contented.,Vous avez l'air satisfait.
You look just fine.,Tu as l'air juste comme il faut.
You look just fine.,Vous avez l'air juste comme il faut.
You look sad today.,Tu as l'air triste aujourd'hui.
You look sad today.,Vous semblez triste aujourd'hui.
You look satisfied.,Vous avez l'air satisfaite.
You look satisfied.,Vous avez l'air satisfait.
You look surprised.,Tu as l'air surpris.
